	species	stage	log10_total_counts	log10_detected	EN_Chronoage_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Multispecies_Multitissue_yugenediff	EN_Mortality_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Mouse_Multitissue_scaleddiff
4-cell_7	Mouse	4-cell	6.2625232288329755	4.226471015317139	0.16215041942118252	-0.15644606658965024	0.35818923085286836	-0.022044059143633582
4-cell_8	Mouse	4-cell	6.069655149268111	4.17070165581607	-0.06422041092631295	-0.28964316384550276	-0.04530480175352561	-0.07572392584536365
4-cell_9	Mouse	4-cell	6.144367751920021	4.185457157401926	-0.06592561550242165	-0.15358364281373008	-0.11562599904296827	0.0019377556615113988
8-cell_1	Mouse	8-cell	6.2157213480189535	4.21539960109389	0.07836158332057994	-0.3116813803413343	0.7243306075017072	-0.006028763624834251
8-cell_10	Mouse	8-cell	6.021994685107191	4.213278629992795	0.03858610859325209	-0.3128850805111629	0.18761135549682156	-0.018244372575927446
8-cell_12	Mouse	8-cell	6.017409425765794	4.142827294538336	0.07517109241059255	-0.23612417175991815	0.3252738603358072	-0.05892058382393573
8-cell_2	Mouse	8-cell	6.359577863629485	4.253846646198501	0.11664240631545217	-0.2994375310782951	0.33032895879433155	-0.0010401842451012275
8-cell_3	Mouse	8-cell	6.333618137271501	4.212480587721373	0.02064585393869927	-0.34146446962907745	0.10973617112199112	-0.009953273732984463
8-cell_4	Mouse	8-cell	6.356768305802518	4.2496629873606055	0.09230974457528716	-0.33564758112512305	0.5787958958838688	0.019887296263298257
8-cell_5	Mouse	8-cell	6.191963257994389	4.216957207361097	0.16013421298359626	-0.09369488914128979	1.1677965042903913	0.0679418683651052
8-cell_6	Mouse	8-cell	6.069073957602426	4.18974290024157	0.1967731023813905	-0.25347579386445634	0.5308443053097576	-0.011581360114963263
8-cell_7	Mouse	8-cell	6.271795387712567	4.236814275171272	0.0725726687960287	-0.26549347159353165	0.4022490033207942	0.05719303410567414
8-cell_8	Mouse	8-cell	6.002035969996467	4.157758886046864	0.12472224470116314	-0.23563490554338765	0.27987696823500946	-0.005211026551603462
8-cell_9	Mouse	8-cell	6.123335405487213	4.191870015444723	0.10616948122747646	-0.2768308579489232	1.0133619250992878	-0.0313656266033416
Early-2-cell_1	Mouse	Early-2-cell	6.244235545323008	4.247580506233836	0.24504841832024848	-0.05528085240339534	0.4644799926350428	0.07875043989142755
Early-2-cell_10	Mouse	Early-2-cell	6.175332608177849	4.224222186084648	0.10323899559138949	-0.03180757149271938	0.41519594599382537	0.06943595104747165
Early-2-cell_11	Mouse	Early-2-cell	6.14388782266639	4.234719704621876	0.08080840796312355	-0.06237240734738648	0.5287642947384457	0.10062203090755702
